city,state,url
Portland,Oregon,portland.jpg
Reno,Nevada,reno.jpg
Sacramento,California,sacramento.jpg
San Antonio,Texas,sanantonio.jpg
Anchorage,Alaska,anchorage.jpg
Cleveland,Ohio,cleveland.jpg
Daytona,Florida,daytona.jpg
Destin,Florida,destin.jpg
Oklahoma City,Oklahoma,oklahoma.jpg
Savannah,Georgia,savannah.jpg 
